join_key,side,doc_id,merge_key,sample_path
인천공항운영서비스_주_인천공항운영서비스_차세대_erp시스템_구축,xml,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축,인천공항운영서비스_주_인천공항운영서비스_차세대_erp시스템_구축,
인천공항운영서비스_주_인천공항운영서비스_차세대_erp시스템_구축,ocr,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축,인천공항운영서비스_주_인천공항운영서비스_차세대_erp시스템_구축,
인천광역시_동구_수도국산달동네박물관_전시해설_시스템_구축_협상에,xml,인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에,인천광역시_동구_수도국산달동네박물관_전시해설_시스템_구축_협상에,
인천광역시_동구_수도국산달동네박물관_전시해설_시스템_구축_협상에,ocr,인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에,인천광역시_동구_수도국산달동네박물관_전시해설_시스템_구축_협상에,
재단법인_광주연구원_광주정책연구아카이브_gpa_시스템_개발,xml,재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발,재단법인_광주연구원_광주정책연구아카이브_gpa_시스템_개발,
재단법인_광주연구원_광주정책연구아카이브_gpa_시스템_개발,ocr,재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발,재단법인_광주연구원_광주정책연구아카이브_gpa_시스템_개발,
재단법인_한국장애인문화예술원_2024년_장애인문화예술정보시스템_이음,xml,재단법인 한국장애인문화예술원_2024년 장애인문화예술정보시스템 이음,재단법인_한국장애인문화예술원_2024년_장애인문화예술정보시스템_이음,
재단법인_한국장애인문화예술원_2024년_장애인문화예술정보시스템_이음,ocr,재단법인 한국장애인문화예술원_2024년 장애인문화예술정보시스템 이음,재단법인_한국장애인문화예술원_2024년_장애인문화예술정보시스템_이음,
재단법인스포츠윤리센터_스포츠윤리센터_lms_학습지원시스템_기능개선,xml,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선,재단법인스포츠윤리센터_스포츠윤리센터_lms_학습지원시스템_기능개선,
재단법인스포츠윤리센터_스포츠윤리센터_lms_학습지원시스템_기능개선,ocr,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선,재단법인스포츠윤리센터_스포츠윤리센터_lms_학습지원시스템_기능개선,
전북대학교_jst_공유대학_원_xapi기반_lrs시스템_구축,xml,전북대학교_JST 공유대학(원) xAPI기반 LRS시스템 구축,전북대학교_jst_공유대학_원_xapi기반_lrs시스템_구축,
전북대학교_jst_공유대학_원_xapi기반_lrs시스템_구축,ocr,전북대학교_JST 공유대학(원) xAPI기반 LRS시스템 구축,전북대학교_jst_공유대학_원_xapi기반_lrs시스템_구축,
조선대학교_재공고_2024_조선대학교_sw중심대학_사업관리시스템_wehub_구,xml,조선대학교_(재공고)2024 조선대학교 SW중심대학 사업관리시스템(WeHub) 구,조선대학교_재공고_2024_조선대학교_sw중심대학_사업관리시스템_wehub_구,
조선대학교_재공고_2024_조선대학교_sw중심대학_사업관리시스템_wehub_구,ocr,조선대학교_(재공고)2024 조선대학교 SW중심대학 사업관리시스템(WeHub) 구,조선대학교_재공고_2024_조선대학교_sw중심대학_사업관리시스템_wehub_구,
중앙선거관리위원회_2025년도_행정정보시스템_위탁운영사업,xml,중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업,중앙선거관리위원회_2025년도_행정정보시스템_위탁운영사업,
중앙선거관리위원회_2025년도_행정정보시스템_위탁운영사업,ocr,중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업,중앙선거관리위원회_2025년도_행정정보시스템_위탁운영사업,
축산물품질평가원_꿀_품질평가_전산시스템_기능개선_사업,xml,축산물품질평가원_꿀 품질평가 전산시스템 기능개선 사업,축산물품질평가원_꿀_품질평가_전산시스템_기능개선_사업,
축산물품질평가원_꿀_품질평가_전산시스템_기능개선_사업,ocr,축산물품질평가원_꿀 품질평가 전산시스템 기능개선 사업,축산물품질평가원_꿀_품질평가_전산시스템_기능개선_사업,
축산물품질평가원_축산물이력관리시스템_개선_정보화_사업,xml,축산물품질평가원_축산물이력관리시스템 개선(정보화 사업),축산물품질평가원_축산물이력관리시스템_개선_정보화_사업,
축산물품질평가원_축산물이력관리시스템_개선_정보화_사업,ocr,축산물품질평가원_축산물이력관리시스템 개선(정보화 사업),축산물품질평가원_축산물이력관리시스템_개선_정보화_사업,
파주도시관광공사_종량제봉투_판매관리_전산시스템_개선사업,xml,파주도시관광공사_종량제봉투 판매관리 전산시스템 개선사업,파주도시관광공사_종량제봉투_판매관리_전산시스템_개선사업,
파주도시관광공사_종량제봉투_판매관리_전산시스템_개선사업,ocr,파주도시관광공사_종량제봉투 판매관리 전산시스템 개선사업,파주도시관광공사_종량제봉투_판매관리_전산시스템_개선사업,
한국건강가정진흥원_2025년_아이돌봄인력_인적성_검사_정보시스템_운영,xml,한국건강가정진흥원_2025년 아이돌봄인력 인적성 검사 정보시스템 운영,한국건강가정진흥원_2025년_아이돌봄인력_인적성_검사_정보시스템_운영,
한국건강가정진흥원_2025년_아이돌봄인력_인적성_검사_정보시스템_운영,ocr,한국건강가정진흥원_2025년 아이돌봄인력 인적성 검사 정보시스템 운영,한국건강가정진흥원_2025년_아이돌봄인력_인적성_검사_정보시스템_운영,
한국교육과정평가원_국가교육과정정보센터_ncic_시스템_운영_및_개선,xml,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선,한국교육과정평가원_국가교육과정정보센터_ncic_시스템_운영_및_개선,
한국교육과정평가원_국가교육과정정보센터_ncic_시스템_운영_및_개선,ocr,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선,한국교육과정평가원_국가교육과정정보센터_ncic_시스템_운영_및_개선,
한국농어촌공사_네팔_수자원관리_정보화사업_pilot_시스템_구축용역,xml,한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역,한국농어촌공사_네팔_수자원관리_정보화사업_pilot_시스템_구축용역,
한국농어촌공사_네팔_수자원관리_정보화사업_pilot_시스템_구축용역,ocr,한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역,한국농어촌공사_네팔_수자원관리_정보화사업_pilot_시스템_구축용역,
한국농어촌공사_아세안_3_식량안보정보시스템_afsis_3단계_협력_캄보디아,xml,한국농어촌공사_아세안+3 식량안보정보시스템(AFSIS) 3단계 협력(캄보디아,한국농어촌공사_아세안_3_식량안보정보시스템_afsis_3단계_협력_캄보디아,
한국농어촌공사_아세안_3_식량안보정보시스템_afsis_3단계_협력_캄보디아,ocr,한국농어촌공사_아세안+3 식량안보정보시스템(AFSIS) 3단계 협력(캄보디아,한국농어촌공사_아세안_3_식량안보정보시스템_afsis_3단계_협력_캄보디아,
한국보육진흥원_연차별_자율_품질관리_시스템_기능개선,xml,한국보육진흥원_연차별 자율 품질관리 시스템 기능개선,한국보육진흥원_연차별_자율_품질관리_시스템_기능개선,
한국보육진흥원_연차별_자율_품질관리_시스템_기능개선,ocr,한국보육진흥원_연차별 자율 품질관리 시스템 기능개선,한국보육진흥원_연차별_자율_품질관리_시스템_기능개선,
한국사학진흥재단_대학재정정보시스템_기본재산_및_기채_사후관리_고,xml,한국사학진흥재단_대학재정정보시스템(기본재산 및 기채 사후관리) 고,한국사학진흥재단_대학재정정보시스템_기본재산_및_기채_사후관리_고,
한국사학진흥재단_대학재정정보시스템_기본재산_및_기채_사후관리_고,ocr,한국사학진흥재단_대학재정정보시스템(기본재산 및 기채 사후관리) 고,한국사학진흥재단_대학재정정보시스템_기본재산_및_기채_사후관리_고,
한국사회보장정보원_라오스_보건의료정보화_협력을_위한_사전타당성_조,xml,한국사회보장정보원_라오스 보건의료정보화 협력을 위한 사전타당성 조,한국사회보장정보원_라오스_보건의료정보화_협력을_위한_사전타당성_조,
한국사회보장정보원_라오스_보건의료정보화_협력을_위한_사전타당성_조,ocr,한국사회보장정보원_라오스 보건의료정보화 협력을 위한 사전타당성 조,한국사회보장정보원_라오스_보건의료정보화_협력을_위한_사전타당성_조,
한국산업단지공단_산단_안전정보시스템_1차_구축_용역,xml,한국산업단지공단_산단 안전정보시스템 1차 구축 용역,한국산업단지공단_산단_안전정보시스템_1차_구축_용역,
한국산업단지공단_산단_안전정보시스템_1차_구축_용역,ocr,한국산업단지공단_산단 안전정보시스템 1차 구축 용역,한국산업단지공단_산단_안전정보시스템_1차_구축_용역,
한국산업인력공단_rfid기반_국가자격_시험_결과물_스마트_관리시스템_도,xml,한국산업인력공단_RFID기반 국가자격 시험 결과물 스마트 관리시스템 도,한국산업인력공단_rfid기반_국가자격_시험_결과물_스마트_관리시스템_도,
한국산업인력공단_rfid기반_국가자격_시험_결과물_스마트_관리시스템_도,ocr,한국산업인력공단_RFID기반 국가자격 시험 결과물 스마트 관리시스템 도,한국산업인력공단_rfid기반_국가자격_시험_결과물_스마트_관리시스템_도,
한국생산기술연구원_2세대_전자조달시스템_기반구축사업,xml,한국생산기술연구원_2세대 전자조달시스템 기반구축사업,한국생산기술연구원_2세대_전자조달시스템_기반구축사업,
한국생산기술연구원_2세대_전자조달시스템_기반구축사업,ocr,한국생산기술연구원_2세대 전자조달시스템 기반구축사업,한국생산기술연구원_2세대_전자조달시스템_기반구축사업,
한국수자원공사_건설통합시스템_cms_고도화,xml,한국수자원공사_건설통합시스템(CMS) 고도화,한국수자원공사_건설통합시스템_cms_고도화,
한국수자원공사_건설통합시스템_cms_고도화,ocr,한국수자원공사_건설통합시스템(CMS) 고도화,한국수자원공사_건설통합시스템_cms_고도화,
한국수자원공사_수도사업장_통합_사고분석솔루션_시범구축_용역,xml,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역,한국수자원공사_수도사업장_통합_사고분석솔루션_시범구축_용역,
한국수자원공사_수도사업장_통합_사고분석솔루션_시범구축_용역,ocr,한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역,한국수자원공사_수도사업장_통합_사고분석솔루션_시범구축_용역,
한국수자원공사_용인_첨단_시스템반도체_국가산단_용수공급사업_타당성,xml,한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성,한국수자원공사_용인_첨단_시스템반도체_국가산단_용수공급사업_타당성,
한국수자원공사_용인_첨단_시스템반도체_국가산단_용수공급사업_타당성,ocr,한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성,한국수자원공사_용인_첨단_시스템반도체_국가산단_용수공급사업_타당성,
한국어촌어항공단_한국어촌어항공단_경영관리시스템_erp_gw_기능_고도,xml,한국어촌어항공단_한국어촌어항공단 경영관리시스템(ERP·GW) 기능 고도,한국어촌어항공단_한국어촌어항공단_경영관리시스템_erp_gw_기능_고도,
한국어촌어항공단_한국어촌어항공단_경영관리시스템_erp_gw_기능_고도,ocr,한국어촌어항공단_한국어촌어항공단 경영관리시스템(ERP·GW) 기능 고도,한국어촌어항공단_한국어촌어항공단_경영관리시스템_erp_gw_기능_고도,
한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,xml,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화,한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,
한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,ocr,한국원자력연구원_한국원자력연구원 선량평가시스템 고도화,한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,
한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,xml,한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅,한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,
한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,ocr,한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅,한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,
한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,xml,한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차),한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,
한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,ocr,한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차),한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,
한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,xml,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스,한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,
한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,ocr,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스,한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,
한국철도공사_용역_예약발매시스템_개량_ismp_용역,xml,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,한국철도공사_용역_예약발매시스템_개량_ismp_용역,
한국철도공사_용역_예약발매시스템_개량_ismp_용역,ocr,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,한국철도공사_용역_예약발매시스템_개량_ismp_용역,
한국철도공사_용역_예약발매시스템_개량_ismp_용역,ocr,한국철도공사_용역_예약발매시스템_개량_ISMP_용역,한국철도공사_용역_예약발매시스템_개량_ismp_용역_859d37,
한국한의학연구원_통합정보시스템_고도화_용역,xml,한국한의학연구원_통합정보시스템 고도화 용역,한국한의학연구원_통합정보시스템_고도화_용역,
한국한의학연구원_통합정보시스템_고도화_용역,ocr,한국한의학연구원_통합정보시스템 고도화 용역,한국한의학연구원_통합정보시스템_고도화_용역,
한국한의학연구원_통합정보시스템_고도화_용역,ocr,한국한의학연구원_통합정보시스템_고도화_용역,한국한의학연구원_통합정보시스템_고도화_용역_629a83,
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,xml,한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,ocr,한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,ocr,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축_a2ff76,
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,xml,한영대학_한영대학교 특성화 맞춤형 교육환경 구축_트랙운영 학사정보,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,ocr,한영대학_한영대학교 특성화 맞춤형 교육환경 구축_트랙운영 학사정보,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,ocr,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보_c4b1f0,
